电影名称,上映年份,上映日期,档期类型,总票房(亿),预测票房(亿),票房预测偏差(亿),豆瓣评分,导演,主演,排片率(%),抖音话题播放量(亿),是否含流量演员,模型MAE（平均绝对误差）,模型RMSE（均方根误差）,模型R2（拟合优度）
满江红2（动画·2021）,2021,2021/11/10,普通档,0.41,25.32969,24.91969093,6.7,杜琪峰,"吴京,王宝强,易烊千玺",23.67,51.44,1,20.7962,39.4878,0.3103
封神（动画·2022）,2022,2022/3/25,普通档,1.16,15.484888,14.32488808,7.6,沈腾,"刘昊然,张译,刘德华,黄渤",17.04,61.56,1,20.7962,39.4878,0.3103
狙击手4（剧情·2021）,2021,2021/5/10,普通档,39.21,23.215492,15.99450775,7.2,周星驰,"王宝强,章子怡",11.43,2.6,1,20.7962,39.4878,0.3103
无名7（剧情·2022）,2022,2022/9/26,普通档,82.33,19.652002,62.67799767,7.2,冯小刚,"易烊千玺,沈腾,王宝强",20.71,11.79,1,20.7962,39.4878,0.3103
功夫2（喜剧·2020）,2020,2020/6/25,普通档,4.88,32.91858,28.0385791,5.7,徐克,"沈腾,王宝强",59.4,147.07,1,20.7962,39.4878,0.3103
无名6（战争·2021）,2021,2021/3/16,普通档,7.6,15.874842,8.27484169,7.2,宁浩,沈腾,41,10.23,1,20.7962,39.4878,0.3103
热辣滚烫（动画·2023）,2023,2023/7/23,暑期档,2.12,14.546991,12.42699135,5,陈凯歌,"张译,王宝强",18.23,16.77,1,20.7962,39.4878,0.3103
误杀（战争·2023）,2023,2023/4/23,普通档,40.99,21.724297,19.26570343,8.1,沈腾,沈腾,51.1,52.93,1,20.7962,39.4878,0.3103
西游3（喜剧·2021）,2021,2021/2/13,普通档,32.83,19.441055,13.3889447,5.2,贾玲,"雷佳音,刘德华,吴京,章子怡",17.43,46.05,1,20.7962,39.4878,0.3103
美人鱼9（爱情·2024）,2024,2024/12/20,普通档,1.83,21.682371,19.85237114,8.3,林超贤,"吴京,徐峥",58.41,27.04,1,20.7962,39.4878,0.3103
热辣滚烫4（动作·2020）,2020,2020/3/22,普通档,41.59,13.474358,28.1156424,7.2,冯小刚,"黄渤,吴京,吴京,周冬雨",5.62,184.97,1,20.7962,39.4878,0.3103
悬崖之上4（动画·2024）,2024,2024/3/7,普通档,20.73,15.589637,5.140363197,7.1,陈思诚,"章子怡,吴京,易烊千玺",49.72,143.53,1,20.7962,39.4878,0.3103
美人鱼8（动画·2021）,2021,2021/1/2,普通档,0.91,23.10563,22.19563087,6.5,吴京,"吴京,刘昊然,徐峥",30,141.66,1,20.7962,39.4878,0.3103
你好李焕英（动作·2022）,2022,2022/3/20,普通档,37.72,13.679038,24.04096195,6,郭帆,"王宝强,张译,周冬雨,刘昊然",21.95,1321.31,1,20.7962,39.4878,0.3103
奇迹1（动画·2021）,2021,2021/11/14,普通档,4.37,19.198746,14.82874573,7.2,张艺谋,章子怡,32.61,96.58,1,20.7962,39.4878,0.3103
扫毒8（动作·2020）,2020,2020/10/6,国庆档,27.2,25.271141,1.928858948,7,王家卫,"贾玲,沈腾,周冬雨",34.26,107.65,1,20.7962,39.4878,0.3103
怒火9（科幻·2021）,2021,2021/6/23,普通档,77.35,39.24084,38.10915909,7.3,陈凯歌,张译,49.53,0.83,1,20.7962,39.4878,0.3103
四海2（爱情·2023）,2023,2023/8/21,暑期档,1.65,24.010109,22.36010895,5.7,冯小刚,"张译,章子怡,黄渤",45.28,10.6,1,20.7962,39.4878,0.3103
满江红9（喜剧·2023）,2023,2023/1/3,普通档,4.79,16.17468,11.38468071,8.3,吴京,雷佳音,22.38,135.87,1,20.7962,39.4878,0.3103
水门桥2（悬疑·2023）,2023,2023/1/15,普通档,13.48,22.691013,9.211013336,5.9,沈腾,"吴京,黄渤,章子怡,刘昊然",29.98,22.43,1,20.7962,39.4878,0.3103
热辣滚烫9（科幻·2023）,2023,2023/2/26,普通档,1.94,16.295784,14.355784,6.2,贾玲,刘德华,43.58,67.24,1,20.7962,39.4878,0.3103
误杀（喜剧·2021）,2021,2021/8/14,暑期档,16.57,25.171198,8.601197891,8.1,冯小刚,吴京,45.68,28.62,1,20.7962,39.4878,0.3103
奇迹8（战争·2020）,2020,2020/10/30,普通档,11.65,20.235472,8.585471725,8,吴京,吴京,6,145.23,1,20.7962,39.4878,0.3103
叶问（动画·2023）,2023,2023/2/1,春节档,157.05,44.150646,112.8993538,6.6,杜琪峰,"沈腾,刘昊然,章子怡,周冬雨",15.74,170.3,1,20.7962,39.4878,0.3103
万里归途（悬疑·2024）,2024,2024/6/3,普通档,7.18,15.72999,8.549990005,7.5,林超贤,王宝强,38.81,9.22,1,20.7962,39.4878,0.3103
飞驰人生（喜剧·2023）,2023,2023/11/9,普通档,10.35,15.057709,4.70770874,8.8,沈腾,"沈腾,周冬雨,徐峥,章子怡",25.35,179.38,1,20.7962,39.4878,0.3103
四海（科幻·2021）,2021,2021/5/13,普通档,19.1,23.620703,4.520702744,7.1,徐峥,"徐峥,王宝强",20.67,83.69,1,20.7962,39.4878,0.3103
飞驰人生6（悬疑·2020）,2020,2020/4/5,普通档,4.98,23.961845,18.9818454,8.2,徐克,"周冬雨,张译",26.75,1.12,1,20.7962,39.4878,0.3103
热辣滚烫4（动作·2021）,2021,2021/4/23,普通档,20.67,29.390692,8.720691757,7.1,张艺谋,"黄渤,刘昊然,刘德华,王宝强",54.21,82.39,1,20.7962,39.4878,0.3103
四海（动作·2023）,2023,2023/5/18,普通档,0.79,18.075535,17.28553482,8.7,杜琪峰,"周冬雨,吴京,张译",55.82,219.01,1,20.7962,39.4878,0.3103
你好李焕英4（战争·2020）,2020,2020/1/21,春节档,8.39,35.292133,26.90213333,8.5,林超贤,张译,52.49,1.84,1,20.7962,39.4878,0.3103
封神1（悬疑·2024）,2024,2024/12/14,普通档,0.56,18.872252,18.31225151,7.2,杜琪峰,沈腾,43.9,1.52,1,20.7962,39.4878,0.3103
奇迹2（科幻·2024）,2024,2024/10/27,普通档,34.17,17.178308,16.99169151,7.5,郭帆,"沈腾,沈腾,王宝强,章子怡",41.62,201.06,1,20.7962,39.4878,0.3103
奇迹9（悬疑·2024）,2024,2024/11/4,普通档,1.44,21.745056,20.30505615,7.3,张艺谋,"黄渤,刘昊然,吴京,吴京",53.95,61.07,1,20.7962,39.4878,0.3103
你好李焕英4（喜剧·2024）,2024,2024/3/17,普通档,1.04,52.388535,51.34853455,9,徐峥,"徐峥,周冬雨,王宝强",54.82,104.62,1,20.7962,39.4878,0.3103
水门桥5（动画·2023）,2023,2023/12/30,普通档,59.3,22.329142,36.97085838,6.8,林超贤,吴京,32,851.56,1,20.7962,39.4878,0.3103
人生大事9（悬疑·2025）,2025,2025/5/18,普通档,28.03,38.779015,10.74901459,8.1,王家卫,"王宝强,黄渤",54.81,2.78,1,20.7962,39.4878,0.3103
无名2（动画·2021）,2021,2021/10/11,普通档,23.61,20.574522,3.035477982,9.2,陈凯歌,"王宝强,黄渤",32.23,13.18,1,20.7962,39.4878,0.3103
你好李焕英9（科幻·2024）,2024,2024/5/18,普通档,53.2,31.707222,21.49277802,8.1,宁浩,"雷佳音,黄渤",59.64,35.31,1,20.7962,39.4878,0.3103
西游3（科幻·2025）,2025,2025/4/7,普通档,80.65,19.97468,60.67532005,5.8,宁浩,"吴京,沈腾,徐峥,刘德华",34.85,842.22,1,20.7962,39.4878,0.3103
误杀3（战争·2024）,2024,2024/10/4,国庆档,2.98,22.903173,19.92317345,5.8,周星驰,"黄渤,贾玲,刘德华,刘昊然",40.81,12.2,1,20.7962,39.4878,0.3103
悬崖之上4（爱情·2021）,2021,2021/1/23,春节档,1.08,21.389801,20.30980103,5.6,王家卫,吴京,25.57,99.12,1,20.7962,39.4878,0.3103
扫毒2（剧情·2020）,2020,2020/8/22,暑期档,68.22,11.616025,56.60397503,7.6,杜琪峰,"刘昊然,易烊千玺,王宝强",56.69,12.82,1,20.7962,39.4878,0.3103
满江红9（科幻·2025）,2025,2025/6/29,普通档,57.82,21.083166,36.73683388,7.8,宁浩,"张译,刘德华,章子怡",22.18,131.93,1,20.7962,39.4878,0.3103
你好李焕英2（爱情·2023）,2023,2023/9/19,普通档,1.74,21.18829,19.44828964,6.3,贾玲,"徐峥,贾玲,周冬雨,王宝强",13.63,104.54,1,20.7962,39.4878,0.3103
唐探（喜剧·2022）,2022,2022/11/15,普通档,2.15,23.998812,21.84881172,7.2,杜琪峰,"章子怡,刘德华",12.86,127.91,1,20.7962,39.4878,0.3103
扫毒7（动作·2024）,2024,2024/6/23,普通档,3.93,27.383316,23.45331604,7.8,徐峥,"吴京,贾玲,周冬雨,雷佳音",53.31,52.87,1,20.7962,39.4878,0.3103
水门桥7（科幻·2023）,2023,2023/6/25,普通档,30.62,24.461435,6.158564682,6,杜琪峰,"易烊千玺,沈腾",24.02,10.17,1,20.7962,39.4878,0.3103
扫毒（战争·2025）,2025,2025/7/1,暑期档,51.72,31.492981,20.22701904,5.7,陈思诚,"贾玲,王宝强,沈腾",16.6,4.78,1,20.7962,39.4878,0.3103
唐探5（动作·2025）,2025,2025/3/7,普通档,1.42,19.479963,18.0599633,7.3,郭帆,"沈腾,王宝强",37.94,83.64,1,20.7962,39.4878,0.3103
叶问（动画·2022）,2022,2022/3/8,普通档,32,23.08565,8.91435051,7,林超贤,"沈腾,刘德华",25.76,183.14,1,20.7962,39.4878,0.3103
怒火9（喜剧·2021）,2021,2021/2/3,春节档,4.93,24.593111,19.66311104,5.6,徐克,"吴京,贾玲,黄渤",11.88,100.8,1,20.7962,39.4878,0.3103
无名4（剧情·2025）,2025,2025/10/16,普通档,2.1,20.163574,18.06357422,7.7,贾玲,"王宝强,吴京",31.21,14.09,1,20.7962,39.4878,0.3103
万里归途3（剧情·2023）,2023,2023/2/20,普通档,6.32,21.058168,14.73816841,7.3,徐克,"刘昊然,沈腾",21.13,99.8,1,20.7962,39.4878,0.3103
功夫9（动作·2022）,2022,2022/1/5,普通档,1.21,19.873293,18.66329292,7.1,林超贤,"沈腾,徐峥,周冬雨",30.95,49.76,1,20.7962,39.4878,0.3103
长津湖4（爱情·2020）,2020,2020/8/17,暑期档,5.56,14.204032,8.644031944,7.8,宁浩,吴京,16.95,5.95,1,20.7962,39.4878,0.3103
狙击手8（爱情·2024）,2024,2024/12/29,普通档,44.74,19.31749,25.42251038,6.7,冯小刚,"雷佳音,吴京,徐峥",58.66,2.84,1,20.7962,39.4878,0.3103
唐探（剧情·2020）,2020,2020/7/7,暑期档,8.15,21.46004,13.31003914,8.1,徐克,刘德华,5.73,2.13,1,20.7962,39.4878,0.3103
误杀6（动画·2025）,2025,2025/8/27,暑期档,16.73,20.935421,4.20542099,6.4,吴京,"吴京,贾玲,张译,刘昊然",28.95,19.82,1,20.7962,39.4878,0.3103
人生大事3（喜剧·2020）,2020,2020/7/9,暑期档,52.93,14.97659,37.95340984,7,冯小刚,"王宝强,周冬雨,刘德华,章子怡",55.39,100.39,1,20.7962,39.4878,0.3103
长津湖（爱情·2023）,2023,2023/4/18,普通档,0.82,17.754696,16.93469589,4.5,周星驰,雷佳音,36.23,1.11,1,20.7962,39.4878,0.3103
人生大事1（喜剧·2024）,2024,2024/10/2,国庆档,45.2,31.65805,13.54194946,4.3,沈腾,"张译,吴京,王宝强",45.32,17.28,1,20.7962,39.4878,0.3103
万里归途（剧情·2023）,2023,2023/8/8,暑期档,2,24.795391,22.79539108,8,周星驰,"张译,沈腾,徐峥,易烊千玺",54.19,151.19,1,20.7962,39.4878,0.3103
奇迹（动作·2024）,2024,2024/9/26,普通档,25.17,17.838408,7.331592484,7.2,冯小刚,"贾玲,易烊千玺,雷佳音,吴京",36.5,29.56,1,20.7962,39.4878,0.3103
狙击手（喜剧·2020）,2020,2020/2/12,普通档,2.09,17.763582,15.67358223,6.3,张艺谋,"贾玲,吴京",10.44,1.94,1,20.7962,39.4878,0.3103
热辣滚烫1（动作·2025）,2025,2025/3/10,普通档,66.44,20.506859,45.93314117,7,吴京,贾玲,29.82,22.66,1,20.7962,39.4878,0.3103
水门桥2（科幻·2023）,2023,2023/7/13,暑期档,15.45,16.28679,0.836790848,8.9,冯小刚,"易烊千玺,章子怡,吴京",16.96,96.79,1,20.7962,39.4878,0.3103
四海1（悬疑·2024）,2024,2024/3/16,普通档,1.38,30.284801,28.90480148,6.7,郭帆,王宝强,33.88,3.66,1,20.7962,39.4878,0.3103
四海（悬疑·2023）,2023,2023/5/24,普通档,35.48,29.02502,6.454979401,6.1,贾玲,贾玲,19.98,5.91,1,20.7962,39.4878,0.3103
流浪地球（喜剧·2025）,2025,2025/1/16,普通档,14.29,21.804768,7.514767609,7.7,张艺谋,沈腾,47.36,49.12,1,20.7962,39.4878,0.3103
热辣滚烫（剧情·2025）,2025,2025/5/8,普通档,23.59,25.564133,1.97413269,5.1,徐克,"吴京,王宝强,刘昊然",10.87,191.35,1,20.7962,39.4878,0.3103
狙击手1（爱情·2022）,2022,2022/5/24,普通档,1.26,16.146034,14.88603424,6.5,林超贤,"雷佳音,沈腾,吴京",31.25,137.42,1,20.7962,39.4878,0.3103
叶问5（爱情·2021）,2021,2021/7/19,暑期档,3.66,13.25663,9.596629944,7.3,沈腾,易烊千玺,59.59,7.36,1,20.7962,39.4878,0.3103
满江红8（科幻·2022）,2022,2022/3/6,普通档,47.08,27.070974,20.00902565,8,陈凯歌,"黄渤,吴京,王宝强,吴京",14.17,1.13,1,20.7962,39.4878,0.3103
人生大事4（爱情·2022）,2022,2022/7/24,暑期档,3.56,15.794615,12.23461479,8.1,贾玲,"章子怡,吴京,徐峥,王宝强",37.25,8.5,1,20.7962,39.4878,0.3103
怒火6（动作·2021）,2021,2021/2/20,普通档,1.33,13.837799,12.50779907,7.5,杜琪峰,"黄渤,易烊千玺",58.59,29.55,1,20.7962,39.4878,0.3103
误杀（动画·2020）,2020,2020/3/1,普通档,8.84,22.618528,13.77852837,9.1,张艺谋,"易烊千玺,王宝强",25.74,54.7,1,20.7962,39.4878,0.3103
水门桥（动作·2022）,2022,2022/12/10,普通档,1.92,22.03417,20.11417015,5.5,杜琪峰,"徐峥,周冬雨,沈腾,章子怡",56.34,9.91,1,20.7962,39.4878,0.3103
叶问（战争·2022）,2022,2022/8/10,暑期档,1.16,22.558996,21.3989962,7,杜琪峰,"易烊千玺,沈腾,吴京,黄渤",37.95,22.28,1,20.7962,39.4878,0.3103
美人鱼8（悬疑·2025）,2025,2025/12/1,普通档,177.68,23.423866,154.2561337,6.9,王家卫,王宝强,26.01,106.3,1,20.7962,39.4878,0.3103
人生大事9（动画·2023）,2023,2023/2/26,普通档,11.24,17.493586,6.253585587,8.6,宁浩,王宝强,40.87,5.39,1,20.7962,39.4878,0.3103
悬崖之上4（剧情·2022）,2022,2022/6/15,普通档,0.75,22.907322,22.15732193,7.2,冯小刚,"王宝强,贾玲,徐峥",16.64,44.83,1,20.7962,39.4878,0.3103
战狼（科幻·2021）,2021,2021/7/14,暑期档,7.86,17.90325,10.04324974,6.7,张艺谋,"刘德华,吴京,王宝强",23.42,2.97,1,20.7962,39.4878,0.3103
长津湖6（科幻·2024）,2024,2024/12/13,普通档,0.63,19.597418,18.96741783,8.6,冯小刚,"沈腾,贾玲,吴京,易烊千玺",48.57,69.54,1,20.7962,39.4878,0.3103
水门桥9（动作·2023）,2023,2023/9/14,普通档,6.91,21.561611,14.65161118,7.5,徐克,"徐峥,贾玲,雷佳音,沈腾",49.76,250.24,1,20.7962,39.4878,0.3103
无名9（喜剧·2021）,2021,2021/8/20,暑期档,6.66,20.846884,14.18688377,7.3,贾玲,"刘昊然,雷佳音",57.5,8173.99,1,20.7962,39.4878,0.3103
满江红（战争·2020）,2020,2020/12/1,普通档,0.24,18.698326,18.45832611,8.8,徐克,"沈腾,雷佳音,贾玲",24.07,23.11,1,20.7962,39.4878,0.3103
悬崖之上6（爱情·2025）,2025,2025/11/26,普通档,178.65,47.040485,131.6095146,7.1,周星驰,"章子怡,王宝强,贾玲",48.13,25.31,1,20.7962,39.4878,0.3103
狙击手（爱情·2024）,2024,2024/11/18,普通档,3.46,29.90748,26.44748024,8.4,周星驰,"易烊千玺,刘德华",42.69,1977.65,1,20.7962,39.4878,0.3103
四海2（剧情·2022）,2022,2022/5/26,普通档,2.87,13.969912,11.09991158,5.9,郭帆,"周冬雨,黄渤",9.93,16.43,1,20.7962,39.4878,0.3103
满江红（科幻·2024）,2024,2024/12/18,普通档,10.09,21.490292,11.4002916,6.1,张艺谋,"沈腾,黄渤,吴京",41.88,40.24,1,20.7962,39.4878,0.3103
封神2（战争·2023）,2023,2023/5/27,普通档,55.51,23.7532,31.75679947,7.3,沈腾,吴京,49.9,84.02,1,20.7962,39.4878,0.3103
西游3（爱情·2022）,2022,2022/1/30,普通档,19.94,23.04057,3.100569305,6.9,陈凯歌,"章子怡,刘昊然,沈腾",32.4,11.02,1,20.7962,39.4878,0.3103
长津湖4（喜剧·2021）,2021,2021/10/21,普通档,52.91,13.313569,39.59643093,4.8,贾玲,"黄渤,易烊千玺,周冬雨,沈腾",34.79,4.3,1,20.7962,39.4878,0.3103
流浪地球（动作·2022）,2022,2022/6/17,普通档,3.68,19.058058,15.37805779,8,贾玲,吴京,8.01,10.7,1,20.7962,39.4878,0.3103
扫毒9（动作·2020）,2020,2020/7/1,暑期档,135.07,39.159317,95.91068298,6.6,杜琪峰,"吴京,刘德华,沈腾",9.95,240.38,1,20.7962,39.4878,0.3103
流浪地球3（喜剧·2025）,2025,2025/3/1,普通档,24.17,38.559776,14.38977631,5.2,徐峥,"刘昊然,刘德华,沈腾,章子怡",50.95,123.82,1,20.7962,39.4878,0.3103
长津湖5（爱情·2020）,2020,2020/11/20,普通档,31.59,18.420708,13.1692923,6.2,张艺谋,"张译,王宝强,贾玲",55.78,56.07,1,20.7962,39.4878,0.3103
美人鱼1（动画·2024）,2024,2024/6/28,普通档,51.27,20.780565,30.48943474,7.3,林超贤,"雷佳音,贾玲,易烊千玺,沈腾",8.57,4.47,1,20.7962,39.4878,0.3103
你好李焕英9（剧情·2021）,2021,2021/9/11,普通档,90.88,26.444452,64.43554771,8.9,林超贤,"吴京,沈腾,徐峥,刘德华",12.35,128.72,1,20.7962,39.4878,0.3103
战狼8（剧情·2021）,2021,2021/2/14,普通档,2.35,18.085686,15.73568573,5.5,沈腾,王宝强,32.91,100.92,1,20.7962,39.4878,0.3103
奇迹2（悬疑·2024）,2024,2024/2/5,春节档,39.19,18.558723,20.63127655,7.7,宁浩,"沈腾,贾玲,黄渤",38.99,107.18,1,20.7962,39.4878,0.3103
万里归途9（剧情·2020）,2020,2020/1/20,普通档,27.2,26.589634,0.610366058,8.4,冯小刚,"刘昊然,刘德华,张译,黄渤",18.52,2.21,1,20.7962,39.4878,0.3103
流浪地球4（科幻·2022）,2022,2022/5/4,普通档,7.36,24.040344,16.68034424,5.7,徐克,"贾玲,刘昊然,雷佳音,王宝强",53.35,9.25,1,20.7962,39.4878,0.3103
你好李焕英3（爱情·2024）,2024,2024/3/5,普通档,1.09,24.473007,23.3830072,7.3,杜琪峰,"吴京,吴京",10.66,348.9,1,20.7962,39.4878,0.3103
美人鱼7（喜剧·2020）,2020,2020/8/9,暑期档,0.06,21.297546,21.23754639,8.5,陈凯歌,"刘德华,刘昊然,易烊千玺",11.27,70.5,1,20.7962,39.4878,0.3103
封神（动作·2023）,2023,2023/11/13,普通档,1.16,26.062626,24.90262589,8,王家卫,"易烊千玺,王宝强",5.77,426.46,1,20.7962,39.4878,0.3103
扫毒3（科幻·2020）,2020,2020/7/25,暑期档,1.49,32.662075,31.17207504,6.8,贾玲,"吴京,易烊千玺,沈腾,雷佳音",59.14,14.18,1,20.7962,39.4878,0.3103
热辣滚烫1（喜剧·2024）,2024,2024/1/13,普通档,24.82,17.254591,7.565409012,7.1,徐克,沈腾,43.47,289.08,1,20.7962,39.4878,0.3103
满江红1（剧情·2024）,2024,2024/7/13,暑期档,77.5,25.114819,52.38518143,5.4,徐克,吴京,35.39,16.4,1,20.7962,39.4878,0.3103
美人鱼（战争·2024）,2024,2024/6/4,普通档,23.2,23.95247,0.752470779,7.1,吴京,易烊千玺,9.16,69.53,1,20.7962,39.4878,0.3103
美人鱼（动画·2020）,2020,2020/11/4,普通档,34.9,19.61131,15.28869095,8.4,徐克,黄渤,41.5,12.2,1,20.7962,39.4878,0.3103
奇迹5（喜剧·2025）,2025,2025/6/8,普通档,2.06,85.684975,83.62497467,7.7,冯小刚,沈腾,16.03,121.08,1,20.7962,39.4878,0.3103
西游9（动画·2020）,2020,2020/6/16,普通档,1.54,13.63679,12.09679028,7,吴京,吴京,9.89,18.76,1,20.7962,39.4878,0.3103
战狼6（剧情·2023）,2023,2023/11/12,普通档,14.45,28.254309,13.8043087,8.9,沈腾,"吴京,周冬雨,张译",13.67,39.61,1,20.7962,39.4878,0.3103
功夫3（爱情·2023）,2023,2023/4/15,普通档,35.08,16.352005,18.727995,5.5,徐峥,"贾玲,沈腾",30.75,113.37,1,20.7962,39.4878,0.3103
功夫4（动画·2025）,2025,2025/8/27,暑期档,335.22,57.525757,277.6942432,7.5,贾玲,"王宝强,黄渤",21.26,3.65,1,20.7962,39.4878,0.3103
西游5（悬疑·2020）,2020,2020/6/11,普通档,2.65,25.597616,22.9476162,8.2,陈凯歌,"雷佳音,贾玲,张译,黄渤",24.22,2.62,1,20.7962,39.4878,0.3103
飞驰人生7（剧情·2024）,2024,2024/4/29,普通档,2.8,21.83546,19.03546066,6.9,郭帆,"沈腾,易烊千玺",35.99,165.19,1,20.7962,39.4878,0.3103
怒火6（战争·2023）,2023,2023/1/26,春节档,24.75,13.138558,11.61144161,5.9,陈思诚,"沈腾,张译,贾玲",5.63,235.13,1,20.7962,39.4878,0.3103
满江红8（科幻·2023）,2023,2023/6/20,普通档,3.85,20.336292,16.48629227,5.6,贾玲,"张译,刘德华",22.55,134.55,1,20.7962,39.4878,0.3103
悬崖之上（喜剧·2023）,2023,2023/12/15,普通档,47.69,19.703304,27.98669571,6.1,徐峥,"贾玲,沈腾,吴京,沈腾",49.32,7.59,1,20.7962,39.4878,0.3103
功夫（喜剧·2020）,2020,2020/8/5,暑期档,30.37,21.852652,8.517348404,6,陈凯歌,"雷佳音,徐峥,王宝强",6.84,9.33,1,20.7962,39.4878,0.3103
美人鱼8（爱情·2024）,2024,2024/8/2,暑期档,31.31,26.473173,4.836826859,7.2,贾玲,"王宝强,徐峥",14.94,95.08,1,20.7962,39.4878,0.3103
长津湖2（动画·2021）,2021,2021/1/11,普通档,9.87,16.225101,6.355101471,7.7,王家卫,"章子怡,王宝强,沈腾,张译",55.85,89.26,1,20.7962,39.4878,0.3103
悬崖之上（动画·2022）,2022,2022/6/7,普通档,22.45,18.607672,3.842328262,7.2,吴京,易烊千玺,32.52,326.96,1,20.7962,39.4878,0.3103
狙击手6（爱情·2023）,2023,2023/11/28,普通档,6.1,18.423832,12.32383194,6.5,张艺谋,"章子怡,徐峥,吴京",11.52,47.19,1,20.7962,39.4878,0.3103
西游6（剧情·2020）,2020,2020/5/10,普通档,101.78,29.101048,72.67895248,5.8,王家卫,"易烊千玺,章子怡,徐峥",45.66,3.65,1,20.7962,39.4878,0.3103
奇迹1（剧情·2025）,2025,2025/7/12,暑期档,571.07,38.588844,532.4811557,5.1,杜琪峰,"易烊千玺,吴京,黄渤,王宝强",28.51,22.05,1,20.7962,39.4878,0.3103
热辣滚烫（悬疑·2022）,2022,2022/1/7,普通档,4.12,15.792248,11.67224777,7.4,张艺谋,"章子怡,沈腾,刘昊然",33.2,106.35,1,20.7962,39.4878,0.3103
四海5（悬疑·2023）,2023,2023/10/3,国庆档,1.78,28.049006,26.26900551,7.3,杜琪峰,"刘昊然,章子怡",26.85,8.88,1,20.7962,39.4878,0.3103
热辣滚烫3（科幻·2022）,2022,2022/2/28,普通档,164.13,36.232304,127.8976964,9.5,王家卫,"沈腾,刘昊然,徐峥,易烊千玺",52.3,66.3,1,20.7962,39.4878,0.3103
飞驰人生8（剧情·2021）,2021,2021/8/6,暑期档,179.83,45.71319,134.1168118,6.6,贾玲,"沈腾,刘德华,吴京,易烊千玺",57.35,826.4,1,20.7962,39.4878,0.3103
长津湖7（战争·2024）,2024,2024/2/22,普通档,4.75,23.189775,18.43977547,6.3,冯小刚,"贾玲,吴京,刘昊然",49.65,34.65,1,20.7962,39.4878,0.3103
西游（战争·2023）,2023,2023/10/26,普通档,16.21,33.5366,17.32659821,6.6,冯小刚,章子怡,50.6,52.29,1,20.7962,39.4878,0.3103
战狼6（动画·2021）,2021,2021/7/4,暑期档,1.58,22.241243,20.66124336,6.9,陈凯歌,"章子怡,刘昊然,王宝强",45.54,123.57,1,20.7962,39.4878,0.3103
人生大事7（动画·2025）,2025,2025/1/3,普通档,2.1,13.044185,10.94418468,6.3,徐克,章子怡,44.35,590.99,1,20.7962,39.4878,0.3103
四海（动作·2020）,2020,2020/10/10,普通档,13.79,14.251545,0.461544952,5,沈腾,"张译,易烊千玺,沈腾,吴京",30.36,74.89,1,20.7962,39.4878,0.3103
误杀（科幻·2021）,2021,2021/3/12,普通档,0.83,20.968454,20.13845436,5.7,张艺谋,"刘昊然,沈腾,章子怡,王宝强",32.8,60.32,1,20.7962,39.4878,0.3103
西游（科幻·2025）,2025,2025/5/14,普通档,3.53,33.333595,29.80359528,5.8,沈腾,"章子怡,刘德华",48.16,179.08,1,20.7962,39.4878,0.3103
四海9（动作·2021）,2021,2021/12/30,普通档,80.9,22.387281,58.51271858,6.8,王家卫,吴京,42.27,120.32,1,20.7962,39.4878,0.3103
奇迹2（爱情·2024）,2024,2024/1/14,普通档,16.94,19.892107,2.95210701,8.7,沈腾,"易烊千玺,王宝强",10.44,58.16,1,20.7962,39.4878,0.3103
战狼7（爱情·2024）,2024,2024/12/6,普通档,3.93,21.68927,17.75927002,6.9,周星驰,"沈腾,刘昊然",38.32,1.56,1,20.7962,39.4878,0.3103
怒火3（喜剧·2024）,2024,2024/9/9,普通档,12.32,18.62958,6.309579544,7.9,宁浩,"沈腾,易烊千玺",20.68,224.87,1,20.7962,39.4878,0.3103
狙击手3（悬疑·2021）,2021,2021/6/12,普通档,15.54,37.66673,22.12672897,5.2,陈凯歌,"徐峥,易烊千玺,章子怡",16.19,190.35,1,20.7962,39.4878,0.3103
人生大事2（喜剧·2024）,2024,2024/10/3,国庆档,1.18,22.401213,21.22121269,6.1,吴京,"雷佳音,黄渤,沈腾,王宝强",46.82,52.73,1,20.7962,39.4878,0.3103
美人鱼（爱情·2023）,2023,2023/10/24,普通档,48.1,18.954006,29.1459938,7.4,冯小刚,"王宝强,雷佳音",20.5,25.27,1,20.7962,39.4878,0.3103
封神（剧情·2025）,2025,2025/11/14,普通档,49.99,16.299593,33.69040703,5.5,郭帆,"刘昊然,雷佳音",34.98,145.75,1,20.7962,39.4878,0.3103
长津湖3（剧情·2020）,2020,2020/5/7,普通档,3.09,17.025349,13.93534866,8.5,郭帆,"刘昊然,沈腾,雷佳音",39.26,42.51,1,20.7962,39.4878,0.3103
四海4（悬疑·2021）,2021,2021/5/7,普通档,3.71,15.859295,12.14929489,7.1,林超贤,周冬雨,7.23,70.05,1,20.7962,39.4878,0.3103
长津湖2（爱情·2021）,2021,2021/6/15,普通档,4.98,31.797504,26.81750443,6.8,杜琪峰,沈腾,48.32,10.77,1,20.7962,39.4878,0.3103
封神7（喜剧·2022）,2022,2022/10/21,普通档,10.51,17.247047,6.737047424,5.3,陈凯歌,"刘昊然,周冬雨,张译,徐峥",41.37,6.45,1,20.7962,39.4878,0.3103
误杀2（动作·2021）,2021,2021/7/2,暑期档,13.75,19.802452,6.052452087,6.2,徐峥,周冬雨,42.71,75.01,1,20.7962,39.4878,0.3103
